@RELATION HURRR
@ATTRIBUTE min NUMERIC
@ATTRIBUTE max NUMERIC
@ATTRIBUTE dev NUMERIC
@ATTRIBUTE class {walking,running}
@DATA
8.981624478892545,10.500927992413901,0.2878678641376759,running
7.851871157140144,12.640788486588665,0.6037039631154432,running
6.818833207037954,14.045787899275856,1.3622743931618968,running
4.397276803391835,21.42133412644538,3.9318688501945736,running
1.8705714109753437,27.4045061165795,5.693176973968987,running
1.8705714109753437,27.4045061165795,5.652028690003451,running
1.8375892812288679,37.6045569003212,8.463065395942667,running
1.5200019296035585,37.6045569003212,9.497640462404814,running
1.5200019296035585,38.79325431959562,9.181457308534993,running
2.009862923248576,38.79325431959562,9.378020146904325,running
2.747674136627207,38.13977799790858,8.607985663937237,running
1.7092910614471752,37.126996286839145,8.056809534338681,running
1.7092910614471752,39.47445267040289,8.351307275735389,running
0.8863018099840894,39.68916878524003,9.573047287922794,running
0.8863018099840894,39.68916878524003,10.098872507985838,running
1.218868386092879,38.01489903292701,9.253939563949803,running
1.218868386092879,37.61833848265324,9.278358918942757,running
0.7619030720343889,39.04871887674649,9.849789085334857,running
0.7619030720343889,39.04871887674649,9.608112597194122,running
2.1281956329122305,38.60618061692884,8.383628251329592,running
2.630965509058277,36.33697127900671,8.332397852042076,running
1.0365463385059082,36.33697127900671,9.21151242265711,running
1.0365463385059082,35.23149953602851,8.884053348647875,running
1.1110574748079878,36.501068165341216,8.385726793038922,running
3.188830645040586,39.65554033246254,9.413975800356878,running
2.5234168943725233,39.65554033246254,10.019814928442086,running
2.5234168943725233,38.59499376290819,9.108067873398282,running
2.70940316095537,39.64001844807433,9.491899568765485,running
2.050413786689326,39.64001844807433,9.29285392536666,running
2.050413786689326,38.48091476392601,9.700033310590124,running
2.1259361964695804,39.4799622071606,9.45150871022031,running
1.8596484607004002,40.22770782204343,8.442849263175226,running
1.8596484607004002,40.22770782204343,9.124949189798274,running
1.728755764228942,39.655596677690596,9.232280819149672,running
1.728755764228942,37.76924881696793,8.475295596890765,running
1.5403655094895043,37.76924881696793,8.59590720559546,running
1.5403655094895043,36.859702880054385,9.031050726211133,running
3.581615066857742,35.44854292619033,8.124676354133907,running
1.6820622722218792,37.22647332897224,8.40620954746904,running
1.6820622722218792,37.22647332897224,8.846923448704239,running
0.5578600622281474,38.59636428784368,9.317381391787354,running
0.5578600622281474,38.59838601500319,8.459928060287732,running
1.4146028457320485,38.59838601500319,8.225009882614101,running
1.4146028457320485,38.319015842947344,9.221005702352796,running
2.062094662971987,36.96286747638922,8.022031562064136,running
2.062094662971987,38.36792918355301,8.182259935706083,running
2.7629766327747536,38.36792918355301,8.933750455323407,running
2.7629766327747536,37.33409582310794,9.4771671898034,running
3.2859742561663428,37.33409582310794,8.60065932320837,running
2.585235836110545,36.836010689353195,8.205806133881989,running
1.6868554608718438,36.836010689353195,9.213899560822389,running
1.6868554608718438,36.77145139602048,8.603134588543961,running
2.247754789546687,37.75871892231848,8.696038166081802,running
2.247754789546687,37.75871892231848,8.940836138367919,running
2.2904691198988125,34.501813414844996,8.697291859434317,running
2.4119511891259466,34.113957786715744,7.733400019373583,running
2.578907853482164,36.63114925828957,8.154154505944991,running
2.921914890855037,36.63114925828957,9.262253320923874,running
2.4137113651134823,35.91617705611131,8.025247467313214,running
2.4137113651134823,37.23440308040013,7.902066277739183,running
2.9642021921080475,37.23440308040013,8.380578372011984,running
0.36535128356378943,39.29645694091173,8.963316779559152,running
